wave-length,optical-strength
380,0.002035
381,0.002035
382,0.002035
383,0.002092
384,0.00219
385,0.002313
386,0.002279
387,0.002105
388,0.001888
389,0.001839
390,0.001958
391,0.001879
392,0.001476
393,0.000839
394,0.0005
395,0.0005
396,0.000756
397,0.001024
398,0.001298
399,0.001466
400,0.001524
401,0.0015
402,0.001521
403,0.001586
404,0.001658
405,0.00171
406,0.001733
407,0.001726
408,0.001691
409,0.001716
410,0.001858
411,0.002115
412,0.002391
413,0.002651
414,0.002959
415,0.003391
416,0.003946
417,0.004838
418,0.006021
419,0.007596
420,0.009447
421,0.011559
422,0.014286
423,0.017569
424,0.02154
425,0.026148
426,0.031289
427,0.037432
428,0.044448
429,0.052485
430,0.061875
431,0.072347
432,0.08458
433,0.09822
434,0.113339
435,0.130793
436,0.150002
437,0.17271
438,0.199105
439,0.229187
440,0.263051
441,0.298935
442,0.337104
443,0.376031
444,0.415609
445,0.451212
446,0.481787
447,0.50482
448,0.519668
449,0.526998
450,0.523662
451,0.5133
452,0.494415
453,0.468845
454,0.437957
455,0.403095
456,0.368034
457,0.333442
458,0.301514
459,0.272297
460,0.247198
461,0.22492
462,0.205811
463,0.188967
464,0.173641
465,0.16032
466,0.148144
467,0.137177
468,0.126798
469,0.116694
470,0.107533
471,0.099358
472,0.092361
473,0.086377
474,0.08115
475,0.076743
476,0.072666
477,0.069113
478,0.066304
479,0.064164
480,0.062649
481,0.061319
482,0.06028
483,0.059578
484,0.059179
485,0.058974
486,0.058767
487,0.058661
488,0.058796
489,0.059172
490,0.060412
491,0.062396
492,0.065216
493,0.06823
494,0.071458
495,0.075246
496,0.079509
497,0.084389
498,0.089547
499,0.095061
500,0.101046
501,0.107401
502,0.114076
503,0.120787
504,0.127682
505,0.135002
506,0.142737
507,0.150609
508,0.158343
509,0.166071
510,0.174043
511,0.182249
512,0.190418
513,0.198431
514,0.206161
515,0.213686
516,0.220928
517,0.227866
518,0.234557
519,0.240619
520,0.246181
521,0.251112
522,0.255763
523,0.260149
524,0.264299
525,0.268325
526,0.272027
527,0.275447
528,0.278435
529,0.280995
530,0.283173
531,0.284799
532,0.286088
533,0.287266
534,0.288747
535,0.290308
536,0.291285
537,0.291585
538,0.291381
539,0.291124
540,0.290951
541,0.290989
542,0.291138
543,0.291025
544,0.290571
545,0.289438
546,0.287848
547,0.285537
548,0.282802
549,0.279724
550,0.2767
551,0.273877
552,0.271302
553,0.26884
554,0.265873
555,0.262044
556,0.257483
557,0.252992
558,0.248841
559,0.24508
560,0.241523
561,0.237487
562,0.232664
563,0.227314
564,0.222306
565,0.217596
566,0.212482
567,0.206762
568,0.201284
569,0.196488
570,0.191887
571,0.186638
572,0.180932
573,0.175449
574,0.170439
575,0.165986
576,0.161892
577,0.158172
578,0.154553
579,0.151183
580,0.148013
581,0.145392
582,0.143507
583,0.142448
584,0.142221
585,0.142513
586,0.143484
587,0.144776
588,0.146642
589,0.14883
590,0.151736
591,0.155326
592,0.159424
593,0.163462
594,0.167195
595,0.17071
596,0.174169
597,0.177358
598,0.180315
599,0.183023
600,0.185704
601,0.187969
602,0.189636
603,0.190775
604,0.191846
605,0.192967
606,0.193891
607,0.194499
608,0.194601
609,0.194382
610,0.193779
611,0.193066
612,0.192188
613,0.191247
614,0.190127
615,0.188831
616,0.187178
617,0.185131
618,0.183107
619,0.181806
620,0.180984
621,0.179304
622,0.176401
623,0.173373
624,0.171165
625,0.169258
626,0.166951
627,0.164639
628,0.162721
629,0.160871
630,0.158652
631,0.156093
632,0.153537
633,0.151178
634,0.149037
635,0.146997
636,0.144856
637,0.142518
638,0.140057
639,0.137726
640,0.135794
641,0.13408
642,0.13203
643,0.129479
644,0.126819
645,0.124369
646,0.1219
647,0.119284
648,0.116796
649,0.1146
650,0.112708
651,0.11086
652,0.108801
653,0.106499
654,0.104307
655,0.102472
656,0.101021
657,0.09961
658,0.09786
659,0.095732
660,0.093613
661,0.091879
662,0.090521
663,0.089152
664,0.087339
665,0.085092
666,0.082742
667,0.080728
668,0.079119
669,0.077578
670,0.075855
671,0.073942
672,0.072405
673,0.071426
674,0.070642
675,0.069478
676,0.067839
677,0.066032
678,0.064179
679,0.062499
680,0.061102
681,0.05984
682,0.058533
683,0.057123
684,0.055774
685,0.054664
686,0.053775
687,0.052924
688,0.051993
689,0.050684
690,0.048977
691,0.047308
692,0.046016
693,0.045294
694,0.044771
695,0.043962
696,0.042782
697,0.041252
698,0.039838
699,0.038828
700,0.038177
701,0.037782
702,0.037244
703,0.036457
704,0.035389
705,0.034115
706,0.033045
707,0.032322
708,0.031657
709,0.030747
710,0.029763
711,0.029042
712,0.028643
713,0.02823
714,0.027677
715,0.027027
716,0.02642
717,0.025782
718,0.024963
719,0.024044
720,0.023258
721,0.022895
722,0.022602
723,0.021942
724,0.020966
725,0.020107
726,0.019985
727,0.020385
728,0.020561
729,0.020328
730,0.019801
731,0.019337
732,0.018689
733,0.017912
734,0.017277
735,0.016651
736,0.015838
737,0.014998
738,0.014452
739,0.014141
740,0.013849
741,0.013609
742,0.013601
743,0.013675
744,0.013523
745,0.013106
746,0.01263
747,0.01228
748,0.011968
749,0.011934
750,0.011956
